tournament,model,n,accuracy,log_loss,brier
WC 2014,Raw XGBoost,64,0.578125,0.919305,0.543237
WC 2014,Blend,64,0.578125,0.918771,0.542743
WC 2014,Elo,64,0.609375,0.938830,0.555480
WC 2018,Raw XGBoost,64,0.531250,0.978528,0.582471
WC 2018,Blend,64,0.562500,0.966295,0.574815
WC 2018,Elo,64,0.578125,0.950053,0.564498
WC 2022,Raw XGBoost,64,0.515625,1.071249,0.632135
WC 2022,Blend,64,0.515625,1.057757,0.623563
WC 2022,Elo,64,0.546875,1.041799,0.611098
Combined,Raw XGBoost,192,0.541667,0.989694,0.585948
Combined,Blend,192,0.552083,0.980941,0.580374
Combined,Elo,192,0.578125,0.976894,0.577025
