# Blend-weight search on TUNE folds [2006, 2010] under the corrected
# frozen-state protocol (remediation Phase 3). Selection metric:
# pooled log-loss. Tune-fold metrics are selection machinery, NOT
# quotable performance numbers (the 2014/2018/2022 benchmark is the
# untouched Phase 4 holdout).
# date=2026-07-13  code_sha=018c6c3b7d1b80a0ac17a661b71d5b808f0e2ca3
# canonical_features_sha256=cdbfc5a6bcc83a6b71f57db1fcf674ec4acad1d5e0e9e1c9ca44b029bc56136d
# HFA_ELO=125.58  ELO_DRAW_RATE=0.227
# argmin_w=1.0  ll_argmin=0.907081
# ll_at_0.75=0.911846
# bootstrap(10000, seed 12345): se_ll_argmin=0.042458  se_ll_diff_075_vs_argmin=0.004781
w,ll_2006,acc_2006,brier_2006,ll_2010,acc_2010,brier_2010,ll_pooled,acc_pooled,brier_pooled
0.000000,0.925198,0.625000,0.541676,0.959915,0.593750,0.565473,0.942557,0.609375,0.553575
0.010000,0.924280,0.625000,0.541062,0.959689,0.593750,0.565347,0.941984,0.609375,0.553205
0.020000,0.923367,0.640625,0.540452,0.959466,0.593750,0.565224,0.941417,0.617188,0.552838
0.030000,0.922458,0.640625,0.539845,0.959248,0.593750,0.565105,0.940853,0.617188,0.552475
0.040000,0.921555,0.640625,0.539241,0.959035,0.578125,0.564988,0.940295,0.609375,0.552115
0.050000,0.920656,0.640625,0.538641,0.958825,0.578125,0.564875,0.939740,0.609375,0.551758
0.060000,0.919762,0.640625,0.538043,0.958619,0.562500,0.564764,0.939191,0.601562,0.551404
0.070000,0.918873,0.640625,0.537449,0.958418,0.562500,0.564657,0.938646,0.601562,0.551053
0.080000,0.917989,0.640625,0.536858,0.958221,0.562500,0.564553,0.938105,0.601562,0.550706
0.090000,0.917110,0.640625,0.536271,0.958029,0.562500,0.564452,0.937569,0.601562,0.550362
0.100000,0.916235,0.640625,0.535686,0.957840,0.562500,0.564355,0.937038,0.601562,0.550021
0.110000,0.915366,0.640625,0.535105,0.957656,0.562500,0.564260,0.936511,0.601562,0.549683
0.120000,0.914500,0.640625,0.534527,0.957476,0.562500,0.564169,0.935988,0.601562,0.549348
0.130000,0.913640,0.640625,0.533953,0.957300,0.546875,0.564080,0.935470,0.593750,0.549017
0.140000,0.912785,0.625000,0.533381,0.957128,0.546875,0.563995,0.934956,0.585938,0.548688
0.150000,0.911934,0.625000,0.532813,0.956961,0.546875,0.563913,0.934447,0.585938,0.548363
0.160000,0.911087,0.625000,0.532248,0.956798,0.546875,0.563834,0.933943,0.585938,0.548041
0.170000,0.910246,0.625000,0.531687,0.956639,0.546875,0.563759,0.933442,0.585938,0.547723
0.180000,0.909409,0.625000,0.531128,0.956484,0.546875,0.563686,0.932946,0.585938,0.547407
0.190000,0.908576,0.640625,0.530573,0.956334,0.546875,0.563617,0.932455,0.593750,0.547095
0.200000,0.907748,0.640625,0.530021,0.956188,0.546875,0.563551,0.931968,0.593750,0.546786
0.210000,0.906925,0.640625,0.529472,0.956046,0.546875,0.563487,0.931485,0.593750,0.546480
0.220000,0.906106,0.640625,0.528927,0.955908,0.546875,0.563427,0.931007,0.593750,0.546177
0.230000,0.905292,0.640625,0.528385,0.955775,0.546875,0.563371,0.930533,0.593750,0.545878
0.240000,0.904482,0.640625,0.527846,0.955645,0.546875,0.563317,0.930064,0.593750,0.545581
0.250000,0.903677,0.640625,0.527310,0.955520,0.531250,0.563266,0.929599,0.585938,0.545288
0.260000,0.902876,0.640625,0.526777,0.955400,0.531250,0.563219,0.929138,0.585938,0.544998
0.270000,0.902080,0.640625,0.526248,0.955283,0.515625,0.563175,0.928682,0.578125,0.544711
0.280000,0.901288,0.640625,0.525722,0.955171,0.515625,0.563134,0.928229,0.578125,0.544428
0.290000,0.900500,0.640625,0.525199,0.955063,0.515625,0.563096,0.927782,0.578125,0.544148
0.300000,0.899717,0.640625,0.524680,0.954960,0.515625,0.563061,0.927338,0.578125,0.543870
0.310000,0.898939,0.640625,0.524164,0.954860,0.515625,0.563029,0.926899,0.578125,0.543596
0.320000,0.898164,0.640625,0.523651,0.954765,0.515625,0.563001,0.926465,0.578125,0.543326
0.330000,0.897394,0.640625,0.523141,0.954674,0.515625,0.562975,0.926034,0.578125,0.543058
0.340000,0.896629,0.640625,0.522634,0.954588,0.515625,0.562953,0.925608,0.578125,0.542794
0.350000,0.895867,0.640625,0.522131,0.954506,0.515625,0.562934,0.925187,0.578125,0.542532
0.360000,0.895110,0.640625,0.521631,0.954428,0.515625,0.562918,0.924769,0.578125,0.542274
0.370000,0.894358,0.640625,0.521134,0.954355,0.515625,0.562905,0.924356,0.578125,0.542020
0.380000,0.893609,0.640625,0.520640,0.954285,0.515625,0.562895,0.923947,0.578125,0.541768
0.390000,0.892865,0.640625,0.520150,0.954221,0.515625,0.562889,0.923543,0.578125,0.541519
0.400000,0.892125,0.640625,0.519663,0.954160,0.515625,0.562885,0.923143,0.578125,0.541274
0.410000,0.891390,0.640625,0.519179,0.954104,0.515625,0.562885,0.922747,0.578125,0.541032
0.420000,0.890658,0.640625,0.518699,0.954052,0.515625,0.562888,0.922355,0.578125,0.540793
0.430000,0.889931,0.640625,0.518221,0.954005,0.515625,0.562894,0.921968,0.578125,0.540558
0.440000,0.889208,0.640625,0.517747,0.953962,0.515625,0.562903,0.921585,0.578125,0.540325
0.450000,0.888489,0.640625,0.517276,0.953923,0.515625,0.562916,0.921206,0.578125,0.540096
0.460000,0.887775,0.640625,0.516808,0.953889,0.515625,0.562931,0.920832,0.578125,0.539870
0.470000,0.887064,0.640625,0.516344,0.953859,0.515625,0.562950,0.920462,0.578125,0.539647
0.480000,0.886358,0.656250,0.515883,0.953834,0.515625,0.562971,0.920096,0.585938,0.539427
0.490000,0.885656,0.656250,0.515425,0.953813,0.515625,0.562996,0.919734,0.585938,0.539211
0.500000,0.884958,0.656250,0.514970,0.953796,0.515625,0.563024,0.919377,0.585938,0.538997
0.510000,0.884264,0.656250,0.514519,0.953784,0.515625,0.563056,0.919024,0.585938,0.538787
0.520000,0.883574,0.656250,0.514071,0.953777,0.515625,0.563090,0.918675,0.585938,0.538580
0.530000,0.882888,0.656250,0.513626,0.953773,0.515625,0.563127,0.918331,0.585938,0.538377
0.540000,0.882207,0.671875,0.513184,0.953775,0.515625,0.563168,0.917991,0.593750,0.538176
0.550000,0.881529,0.671875,0.512746,0.953781,0.515625,0.563212,0.917655,0.593750,0.537979
0.560000,0.880856,0.671875,0.512310,0.953791,0.515625,0.563259,0.917323,0.593750,0.537785
0.570000,0.880186,0.671875,0.511878,0.953806,0.515625,0.563309,0.916996,0.593750,0.537594
0.580000,0.879521,0.671875,0.511450,0.953826,0.515625,0.563362,0.916673,0.593750,0.537406
0.590000,0.878860,0.671875,0.511024,0.953850,0.515625,0.563418,0.916355,0.593750,0.537221
0.600000,0.878202,0.671875,0.510602,0.953879,0.515625,0.563478,0.916040,0.593750,0.537040
